Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MAPE (%),Test MAPE (%),Overfitting Gap,Overfitting Status
Best Model,0.6872146446368219,0.5931686036194619,1.4475164037325514,1.6668030589963083,1.0624113475999795,1.2351739436148401,8.730431901919095,10.260435123028076,0.09404604101736003,Moderate
XGBoost,0.7036192532743902,0.5922542263198665,1.409046359995922,1.668675126253245,1.0378821374745728,1.2343090859349746,8.430898380524885,10.332721263378941,0.11136502695452377,High
LightGBM,0.6872146446368219,0.5931686036194619,1.4475164037325514,1.6668030589963083,1.0624113475999795,1.2351739436148401,8.730431901919095,10.260435123028076,0.09404604101736003,Moderate
Random Forest,0.8678619974472643,0.5762088980387201,0.9408364990692011,1.7011906030222521,0.6532134586921698,1.259943577627128,5.7470068988931535,10.685129790977786,0.2916530994085442,High
