budget,revenue,runtime,rating,poster_brightness,poster_saturation,poster_dom_r,poster_dom_g,poster_dom_b,budget_imputed,num_production_companies,num_production_countries,budget_per_minute,num_genres,is_action,is_animation,is_comedy,is_drama,is_scifi,num_cast,has_cast,num_directors,release_year,release_month,is_summer,is_holiday,is_weekend_month,movie_age,decade,num_keywords,has_keywords,in_collection,is_english
1.450950257132984,18.947346377736228,-1.3690794189138051,1.3567941504505343,115.6,215.92,111.0,49.0,20.0,0,2,1,0.0,5,0,1,1,0,0,5,1,1,2000,12,0,1,1,24,2000,13,1,1,1
0.8253809800967935,18.902106868647387,0.3931467748320202,-0.3852164911722614,43.73,31.17,43.0,40.0,38.0,0,3,1,2.0994219791055238,2,0,0,0,0,0,5,1,1,2000,2,0,0,0,24,2000,13,1,1,1
0.8253809800967935,18.785718737898097,0.5322698953909012,0.1548291698699785,107.38,171.26,45.0,69.0,105.0,0,1,1,1.5506813127025159,4,0,0,0,1,0,5,1,1,2000,2,0,0,0,24,2000,15,1,0,1
0.9912450002598528,18.82127400385676,0.4395211483516472,0.2957106466636068,197.28,49.17,189.0,178.0,178.0,0,2,1,2.2552839697870204,1,0,0,1,0,0,5,1,2,2000,6,1,0,0,24,2000,7,1,0,1
0.5045004825063288,18.843989876270804,0.6250186424301553,0.7027015796229762,135.3,113.71,135.0,91.0,64.0,0,2,1,0.8071766956338521,3,0,0,1,1,0,5,1,1,2000,12,0,1,1,24,2000,27,1,0,1
0.6289749077087743,18.733299309009467,0.2540236542731393,1.4495970280209405,68.92,106.18,68.0,44.0,21.0,0,4,1,2.4760485770843537,1,0,0,0,1,0,5,1,1,2000,9,0,0,0,24,2000,21,1,0,1
0.949855407006036,19.150641902454304,1.8307523539404569,0.8256933450777312,79.57,141.1,73.0,65.0,38.0,0,5,1,0.5188333664908831,3,0,0,0,1,0,5,1,1,2000,12,0,1,1,24,2000,15,1,0,1
1.1568464873923383,18.674547475667367,1.042388004106798,0.0553176505474958,53.51,117.15,32.0,35.0,45.0,0,5,1,1.1098041063736315,3,1,0,0,0,0,5,1,1,2000,8,0,0,0,24,2000,5,1,0,1
1.1245860355468944,18.66519432883362,0.3931467748320202,0.1738369881675319,94.11,152.29,93.0,48.0,29.0,0,3,2,2.860473765878904,3,1,0,0,0,0,5,1,1,2000,4,0,0,0,24,2000,6,1,0,1
1.3319158511908489,18.63019541050256,-0.0242225868446226,-1.4854337385129746,207.29,64.52,202.0,168.0,164.0,0,3,1,0.0,4,0,0,1,0,1,5,1,1,2000,7,1,0,1,24,2000,6,1,1,1
1.1021997938842365,18.641421418669516,0.8105161365086632,0.5226863592755633,83.85,118.03,83.0,56.0,48.0,0,3,1,1.3598739670156532,4,0,0,1,1,0,5,1,1,2000,12,0,1,1,24,2000,16,1,0,1
0.1998117184217853,18.60095252639352,-0.6734638161194004,-0.125815676758597,127.79,91.58,99.0,99.0,109.0,0,2,1,0.0,2,0,0,1,0,0,5,1,1,2000,5,1,0,0,24,2000,20,1,1,1
0.4475742584535894,18.54183847890017,-0.4415919485212655,0.3180727858371981,55.67,144.31,47.0,49.0,47.0,0,3,1,0.0,1,0,0,0,0,0,5,1,1,2000,3,0,0,0,24,2000,15,1,1,1
1.3790186095681194,18.52489127062626,0.3003980277927663,-0.3818621702962225,151.14,154.84,150.0,66.0,47.0,0,3,1,4.590638026823046,3,0,0,0,0,1,5,1,1,2000,3,0,0,0,24,2000,23,1,0,1
0.9057937195997724,18.550831437197044,-0.3488432014820115,-0.0855638262461324,127.9,136.42,124.0,76.0,61.0,0,2,1,0.0,4,0,0,1,1,0,5,1,1,2000,7,1,0,1,24,2000,1,1,0,1
1.1568464873923383,18.518873864087816,-0.1633457074035035,0.4433007652093119,173.55,162.84,173.0,125.0,62.0,0,3,1,0.0,3,0,0,1,0,0,5,1,1,2000,7,1,0,1,24,2000,4,1,0,1
-0.5942935930897035,18.509426369596422,0.1612749072338853,1.397046000963,215.28,62.69,175.0,206.0,197.0,0,7,3,-3.6849724689523007,3,0,0,1,1,0,5,1,1,2000,9,0,0,0,24,2000,44,1,0,1
0.8472164194513329,18.48244967080199,-0.4415919485212655,0.1324670306963873,132.97,68.84,128.0,122.0,113.0,0,2,1,0.0,2,0,0,1,0,0,5,1,1,2000,2,0,0,0,24,2000,8,1,1,1
0.6289749077087743,18.453062083357363,-1.3227050453941782,0.3639151711430615,210.38,145.61,114.0,174.0,180.0,0,1,1,0.0,4,0,1,1,0,0,5,1,2,2000,11,0,1,0,24,2000,6,1,1,1
1.0427954561046473,18.413398976115555,0.1149005337142583,0.0776797897210871,129.63,114.52,103.0,109.0,106.0,0,4,2,9.075636312516485,4,1,0,1,0,0,5,1,1,2000,5,1,0,0,24,2000,12,1,1,1
0.9207991411659846,18.494173982910635,-0.3952175750016385,-0.3762716355028247,65.13,104.1,51.0,52.0,47.0,0,5,2,0.0,4,1,0,0,0,0,5,1,1,2000,6,1,0,0,24,2000,14,1,1,1
0.6940449965798203,18.46139883547489,-0.0242225868446226,-0.0866819332048113,90.53,126.45,90.0,40.0,35.0,0,5,2,0.0,3,0,0,0,0,1,5,1,1,2000,8,0,0,0,24,2000,16,1,1,1
